"date","stationReference","daily_rainfall","lat","long"
2023-09-01,"0925SE",6.1,51.207877,1.383789
2023-09-01,"1023SE",2.4,51.294661,1.108973
2023-09-01,"1040",0.6,52.309441,-1.774803
2023-09-01,"1045",0,52.362576,-1.508732
2023-09-01,"1082",1.8,52.186855,-1.418519
2023-09-01,"1086",0.2,52.174506,-1.736002
2023-09-01,"1087",0,52.067173,-1.611177
2023-09-01,"1112",0.2,51.684691,-2.162673
2023-09-01,"1113",0,51.799795,-2.148586
2023-09-01,"1119",0,52.031946,-2.435056
2023-09-01,"1121",0.2,52.718322,-2.717219
2023-09-01,"1140",0,51.875411,-2.019556
2023-09-01,"1141",0,51.777374,-2.093434
2023-09-01,"1155",0.6,52.417004,-1.12584
2023-09-01,"1165",0.6,52.205609,-1.605581
2023-09-01,"1201",0,52.343809,-1.955178
2023-09-01,"1331",0,52.596394,-2.471631
2023-09-01,"1332",0,52.589321,-2.78744
2023-09-01,"1335",0,52.863499,-3.123644
2023-09-01,"1339",0.2,52.718219,-2.570654
2023-09-01,"1387",0,52.424304,-3.172736
2023-09-01,"1403SE",3.4,51.130603,1.318089
2023-09-01,"1409",0,52.59735,-3.029712
2023-09-01,"1412",0,52.47914,-2.975413
2023-09-01,"1413",0,52.325619,-2.226643
2023-09-01,"14880",2.2,50.671665,-1.399223
2023-09-01,"1548",0,52.408068,-2.335847
2023-09-01,"1552",0,52.541438,-2.193841
2023-09-01,"1602",0,52.05292,-2.737138
2023-09-01,"1603",0.2,52.224678,-2.731196
2023-09-01,"1606",0,51.952233,-2.735485
2023-09-01,"1687",0,52.016552,-2.653481
2023-09-01,"1712",0,52.639137,-2.325793
2023-09-01,"1713",0,52.84224,-2.872181
2023-09-01,"1740",0.4,52.392235,-1.324715
2023-09-01,"1747",0.2,52.806646,-2.49764
2023-09-01,"1748",0,52.481743,-2.579368
2023-09-01,"1760",0,52.140634,-1.974376
2023-09-01,"1761",0,52.051393,-1.762976
2023-09-01,"1769",0,52.199933,-2.097246
2023-09-01,"1770",2.2,52.288216,-1.222206
2023-09-01,"1771",0,52.911156,-2.637129
2023-09-01,"1772",0,51.793782,-2.615455
2023-09-01,"1773",0,52.222319,-2.17488
2023-09-01,"1774",0.2,52.338976,-2.542273
2023-09-01,"1775",0,52.27751,-1.599081
2023-09-01,"1792",0,52.307409,-2.728158
2023-09-01,"1793",0.2,52.518531,-2.881966
2023-09-01,"1794",0,51.87509,-2.275208
2023-09-01,"1812",0,51.89986,-2.41343
2023-09-01,"1813",0,51.749956,-2.336734
2023-09-01,"1814",0,52.481443,-1.558947
